Product name,Original Price,Discount,Price After Discount,Ratings
"Redmi K20 Pro (Flame Red, 256 GB)  (8 GB RAM)",N/A,22% off,"₹31,999",4.5
"Mi Max 2 (Black, 64 GB)  (4 GB RAM)","₹16,999",11% off,"₹14,999",4.4
"Redmi 6 (Blue, 32 GB)  (3 GB RAM)",N/A,50% off,"₹8,999",4.4
"REDMI Note 11 Pro (Stealth Black, 128 GB)  (6 GB RAM)","₹22,999",34% off,"₹14,980",4.2
"Redmi Note 7 Pro (Nebula Red, 128 GB)  (6 GB RAM)",N/A,33% off,"₹17,999",4.5
"Redmi Y3 (Bold Red, 64 GB)  (4 GB RAM)","₹13,999",7% off,"₹12,999",4.3
"Mi A2 (Red, 64 GB)  (4 GB RAM)",N/A,30% off,"₹17,499",4.2
"Redmi Note 9 Pro (Glacier White, 128 GB)  (6 GB RAM)","₹19,999",7% off,"₹18,498",4.3
"Mi Mix 2 (Black, 128 GB)  (6 GB RAM)",N/A,20% off,"₹37,999",4.3
"Redmi 7 (Lunar Red, 32 GB)  (3 GB RAM)",N/A,N/A,"₹10,990",4.4
"Redmi Y3 (Prime Black, 64 GB)  (4 GB RAM)","₹13,999",28% off,"₹9,999",4.3
"Redmi Note 7 (Onyx Black, 64 GB)  (4 GB RAM)",N/A,55% off,"₹14,999",4.5
"Redmi Note 7 (Ruby Red, 64 GB)  (4 GB RAM)",N/A,55% off,"₹14,999",4.5
"Mi A1 (Black, 64 GB)  (4 GB RAM)","₹14,999",2% off,"₹14,599",4.4
"Mi 5 (White, 32 GB)  (3 GB RAM)",N/A,23% off,"₹24,999",4.3
"Mi A1 (Red, 64 GB)  (4 GB RAM)","₹14,999",2% off,"₹14,599",4.4
"Mi A2 (Gold, 128 GB)  (6 GB RAM)",N/A,20% off,"₹20,500",4.1
"Xiaomi 11Lite NE (Vinyl Black, 128 GB)  (6 GB RAM)","₹31,999",32% off,"₹21,490",4.2
"NOTE 12 5G (Black, 128 GB)  (6 GB RAM)","₹21,999",27% off,"₹15,990",4.2
"Redmi Note 5 Pro (Rose Gold, 64 GB)  (6 GB RAM)",N/A,30% off,"₹16,999",4.5
"Redmi 7 (Eclipse Black, 32 GB)  (3 GB RAM)",N/A,N/A,"₹9,500",4.4
"Redmi Y2 (Gold, 64 GB)  (4 GB RAM)",N/A,55% off,"₹13,499",4.4
"Mi 4i (White, 16 GB)  (2 GB RAM)",N/A,55% off,"₹12,999",4.2
"Redmi Y2 (Black, 64 GB)  (4 GB RAM)",N/A,55% off,"₹13,499",4.4
